DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA
34830.00,-0.01,-0.01,-0.01,0.00,-0.01,-0.01,-0.01,-0.01,-0.02,-0.01,0.00,-0.01,0.03,0.00,0.00,-0.01,-0.04,-0.01,-0.02,0.00,-0.01,0.03,0.00,0.00
34831.00,0.01,-0.01,-0.01,0.00,-0.01,-0.01,0.00,-0.03,0.00,-0.01,0.00,-0.03,0.02,0.00,0.00,-0.01,-0.01,-0.02,-0.01,-0.01,-0.02,0.00,-0.01,0.00
34834.00,0.00,0.00,-0.01,0.01,0.00,-0.01,-0.01,0.00,0.00,-0.01,-0.01,-0.01,0.00,-0.01,0.00,0.02,0.00,0.00,0.00,0.01,-0.01,0.00,0.01,0.00
34835.00,-0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.03,0.00,0.00,0.00,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00
34836.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.02,0.00,0.00,-0.01,-0.01,0.00,0.00,0.00,0.01,0.00,-0.01,-0.02,0.00
34837.00,-0.03,-0.01,-0.01,0.00,-0.02,-0.02,-0.01,-0.01,-0.02,-0.02,-0.01,-0.02,-0.01,-0.01,-0.03,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,0.00,-0.01,-0.01
34838.00,-0.02,0.02,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.01,-0.01,0.00,0.00,-0.01,0.00,0.00,0.00,-0.02,0.00,-0.01,0.00,0.00
34841.00,0.01,-0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,-0.02,0.00,0.00,0.01,-0.02,-0.03,0.01,0.00,0.00,0.00,0.00,0.01,0.01
34842.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.00,0.00,-0.01,0.02,0.01,0.01,-0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
34843.00,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.01,-0.01,0.00,0.01,0.01,0.02,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.00
34844.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,0.03,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.01,0.02,0.00,0.00,0.00
