DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA
35370.00,0.00,0.00,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.00
35373.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,-0.01,0.01,0.01,-0.01,0.00,0.00,0.00,0.00,0.01,0.01,-0.01,0.00,-0.01
35374.00,0.00,0.00,-0.01,0.00,0.00,-0.01,0.00,-0.01,-0.01,-0.02,0.00,0.00,0.01,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01
35375.00,0.01,0.00,0.02,0.00,-0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,0.00,-0.01,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01
35376.00,0.00,-0.01,0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35377.00,-0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35380.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.01,0.00,-0.01,0.00,0.00,0.00,0.00,0.01,0.00,-0.01,0.00,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00
35381.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,-0.01,0.02,-0.03,0.00,0.01,-0.01,0.00,0.01,0.01,0.00,0.00
35382.00,0.00,0.00,0.01,0.01,0.00,-0.01,0.00,-0.01,0.01,0.00,0.00,0.00,-0.01,0.00,-0.02,0.01,0.00,0.00,0.01,-0.01,0.00,0.00,0.00,0.00
35383.00,-0.01,0.00,0.00,0.00,-0.01,0.00,-0.01,0.00,-0.02,0.01,0.00,0.01,0.00,0.00,0.01,-0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00
35384.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,-0.01,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00
35387.00,0.01,-0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00
35388.00,0.01,0.00,0.01,0.00,0.00,-0.01,0.00,-0.01,0.00,0.00,-0.01,0.01,0.00,-0.01,-0.02,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35389.00,-0.01,0.00,0.01,0.00,0.00,0.00,-0.01,0.00,-0.01,0.01,0.00,-0.04,0.00,0.01,0.01,0.02,-0.01,0.00,0.00,0.00,0.00,-0.01,0.00,0.00
35390.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,0.00,0.00,-0.01,0.01,0.00,0.00,-0.01,-0.01,0.00,0.00,0.00,0.00
35391.00,0.00,-0.01,-0.01,-0.01,-0.01,0.00,0.00,0.00,-0.01,-0.01,-0.01,-0.01,-0.01,0.00,0.00,-0.01,-0.01,-0.01,0.00,0.01,0.01,-0.01,-0.01,0.00
35394.00,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.03,0.01,0.00,-0.01,0.01,0.01,0.00,0.00,-0.01,0.00
35395.00,0.00,0.00,0.01,-0.01,0.00,0.00,-0.01,-0.01,0.00,0.00,0.00,0.02,-0.02,0.00,0.02,0.02,-0.01,-0.01,0.00,0.01,0.00,0.00,0.01,0.00
35396.00,0.02,-0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
